ID Log,Timestamp,Server ID,CPU Usage (%),Memory Usage (%),Disk Usage (%),Response Time (ms),Error Code,Status Layanan
LOG0025,2025-06-12 19:38,SRV009,76.55,82.44,63.13,224.14,504.0,Degraded
LOG0026,2025-06-16 22:04,SRV010,56.06,14.42,75.57,158.73,404.0,Degraded
LOG0027,2025-06-22 17:35,SRV016,52.62,5.19,60.37,126.08,500.0,Down
LOG0028,2025-06-07 23:53,SRV018,47.57,61.15,74.32,286.42,502.0,Timeout
LOG0029,2025-06-21 02:40,SRV017,38.08,5.28,3.76,722.84,504.0,Normal
LOG0030,2025-07-13 14:12,SRV008,33.39,23.0,65.26,634.52,503.0,Degraded
LOG0031,2025-07-20 11:08,SRV007,69.69,60.05,28.08,402.85,404.0,Timeout
LOG0032,2025-06-15 06:24,SRV002,36.66,60.88,54.07,186.23,502.0,Degraded
LOG0033,2025-06-09 22:09,SRV018,57.98,25.73,12.37,868.67,500.0,Degraded
LOG0034,2025-06-15 06:00,SRV014,17.64,61.65,21.3,702.57,504.0,Timeout
LOG0035,2025-07-01 14:23,SRV016,43.97,88.67,3.05,944.26,502.0,Degraded
LOG0036,2025-06-15 06:11,SRV016,11.98,44.62,62.76,814.56,502.0,Timeout
LOG0037,2025-06-03 18:08,SRV006,37.33,13.38,90.88,222.11,200.0,Degraded
LOG0038,2025-06-12 07:09,SRV018,19.7,80.47,65.77,666.6,500.0,Normal
LOG0039,2025-07-21 00:19,SRV012,43.9,55.77,19.71,586.89,502.0,Degraded
LOG0040,2025-07-24 22:08,SRV003,64.58,20.52,45.83,972.78,500.0,Down
LOG0041,2025-07-28 16:03,SRV005,25.31,91.87,20.06,941.45,503.0,Down
LOG0042,2025-07-22 00:53,SRV016,29.21,76.57,64.06,664.45,404.0,Down
LOG0043,2025-06-16 17:31,SRV003,34.01,99.6,65.29,144.78,200.0,Down
LOG0044,2025-07-28 08:41,SRV017,29.43,41.98,27.74,994.1,404.0,Timeout
LOG0045,2025-07-06 07:46,SRV017,14.36,65.8,68.72,896.96,504.0,Degraded
LOG0046,2025-06-20 16:35,SRV012,23.22,63.33,17.25,800.64,500.0,Degraded
LOG0047,2025-07-05 22:19,SRV014,2.43,20.75,53.39,358.76,502.0,Normal
LOG0048,2025-07-21 12:41,SRV016,15.89,74.89,75.73,796.98,404.0,Down
LOG0049,2025-07-19 06:03,SRV015,14.75,58.14,35.94,938.3,503.0,Normal
LOG0050,2025-06-10 18:50,SRV012,7.09,11.18,85.63,764.92,504.0,Down
LOG0051,2025-07-09 12:33,SRV010,75.37,72.8,22.0,488.38,200.0,Timeout
LOG0052,2025-07-13 14:20,SRV002,92.6,64.84,30.13,582.72,504.0,Degraded
LOG0053,2025-07-15 04:21,SRV019,91.12,81.7,45.22,141.92,504.0,Down
LOG0054,2025-07-27 20:03,SRV020,16.35,28.83,34.37,814.02,504.0,Timeout
LOG0055,2025-06-20 17:47,SRV013,97.56,95.86,84.18,115.82,500.0,Normal
LOG0056,2025-06-04 20:01,SRV007,29.72,10.12,66.97,826.98,500.0,Down
LOG0057,2025-06-10 05:46,SRV017,15.87,97.64,2.31,466.64,500.0,Normal
LOG0058,2025-07-24 12:05,SRV014,27.0,30.46,86.52,154.39,504.0,Normal
LOG0059,2025-06-25 22:46,SRV011,63.42,11.6,45.38,845.0,404.0,Down
LOG0060,2025-07-28 11:57,SRV008,77.36,28.94,60.36,126.38,504.0,Normal
LOG0061,2025-06-23 13:55,SRV003,3.64,19.61,23.98,111.35,503.0,Timeout
LOG0062,2025-07-18 07:39,SRV010,66.08,7.06,87.76,678.63,504.0,Degraded
LOG0063,2025-06-28 01:57,SRV012,3.3,24.24,16.99,316.1,404.0,Degraded
LOG0064,2025-07-19 10:46,SRV012,9.36,98.36,79.76,143.33,503.0,Timeout
LOG0065,2025-07-23 17:38,SRV012,75.7,18.06,87.11,837.95,504.0,Down
LOG0066,2025-06-25 21:11,SRV014,6.49,76.92,62.34,853.71,503.0,Timeout
LOG0067,2025-07-20 06:50,SRV012,73.7,92.69,25.84,272.98,404.0,Timeout
LOG0068,2025-07-02 08:47,SRV020,4.71,70.8,4.8,890.58,504.0,Normal
LOG0069,2025-07-15 03:53,SRV003,74.6,45.62,90.53,990.84,404.0,Down
LOG0070,2025-07-17 02:49,SRV011,34.12,76.4,88.14,651.1,200.0,Degraded
LOG0071,2025-07-30 21:46,SRV005,1.78,2.81,84.25,656.94,502.0,Normal
LOG0072,2025-07-20 03:01,SRV012,83.61,57.94,17.43,103.44,503.0,Degraded
LOG0073,2025-07-19 02:45,SRV009,57.76,16.27,22.64,519.2,504.0,Degraded
LOG0074,2025-06-21 17:20,SRV011,43.8,2.45,6.41,318.22,504.0,Normal
LOG0075,2025-06-06 12:15,SRV003,54.32,96.35,73.33,167.96,404.0,Timeout
LOG0076,2025-07-15 04:03,SRV005,67.62,50.42,4.27,833.69,200.0,Degraded
LOG0077,2025-06-09 08:26,SRV013,2.64,57.12,99.24,946.25,200.0,Normal
LOG0078,2025-07-04 09:21,SRV005,24.71,89.79,33.22,790.95,200.0,Degraded
LOG0079,2025-06-10 23:37,SRV012,39.4,55.5,48.27,299.41,404.0,Normal
LOG0080,2025-07-05 12:06,SRV002,94.43,78.45,98.67,837.89,502.0,Normal
LOG0081,2025-06-17 03:20,SRV004,58.1,88.26,7.66,917.89,500.0,Normal
LOG0082,2025-06-06 22:22,SRV006,51.37,95.94,38.23,861.84,502.0,Degraded
LOG0083,2025-06-11 20:38,SRV007,44.07,60.22,7.7,648.38,200.0,Degraded
LOG0084,2025-07-11 12:06,SRV011,49.87,35.46,74.14,219.87,200.0,Down
LOG0085,2025-07-19 09:29,SRV016,14.1,59.12,89.22,624.8,200.0,Down
LOG0086,2025-07-25 18:32,SRV011,26.78,59.21,35.86,441.19,504.0,Down
LOG0087,2025-06-02 16:15,SRV019,99.95,60.71,18.12,623.78,500.0,Degraded
LOG0088,2025-07-15 16:06,SRV019,48.5,58.31,10.86,182.29,200.0,Normal
LOG0089,2025-06-30 15:48,SRV001,62.59,17.91,40.33,328.24,503.0,Normal
LOG0090,2025-07-14 16:47,SRV011,93.09,27.59,16.38,86.05,500.0,Normal
LOG0091,2025-06-28 10:09,SRV006,16.87,44.04,14.76,94.26,502.0,Degraded
LOG0092,2025-07-06 06:58,SRV004,59.25,1.79,47.07,788.51,200.0,Down
LOG0093,2025-06-14 05:41,SRV017,91.84,97.31,70.18,843.94,503.0,Timeout
LOG0094,2025-06-12 03:58,SRV012,43.23,58.05,13.12,971.04,500.0,Timeout
LOG0095,2025-06-11 09:53,SRV003,57.45,21.8,13.42,630.95,504.0,Normal
LOG0096,2025-06-19 04:38,SRV013,25.54,64.23,81.16,949.34,200.0,Normal
LOG0097,2025-06-19 23:12,SRV018,18.37,65.01,33.08,844.35,404.0,Normal
LOG0098,2025-07-24 23:27,SRV015,14.56,2.41,91.12,161.09,504.0,Degraded
LOG0099,2025-06-22 09:53,SRV002,82.41,28.79,27.95,105.03,500.0,Down
LOG0100,2025-07-15 14:35,SRV016,63.79,36.19,98.23,286.98,500.0,Down
LOG0101,2025-07-19 08:34,SRV016,83.51,83.62,78.2,169.98,500.0,Normal
LOG0102,2025-07-14 11:40,SRV001,37.93,59.12,18.1,955.43,502.0,Degraded
LOG0103,2025-07-30 03:49,SRV008,83.07,18.14,11.8,240.89,500.0,Degraded
LOG0104,2025-07-27 17:39,SRV016,30.17,85.02,24.57,122.4,504.0,Down
LOG0105,2025-06-21 08:51,SRV003,46.14,46.22,12.4,849.62,503.0,Timeout
LOG0106,2025-06-01 06:35,SRV017,94.89,9.85,79.18,359.61,503.0,Down
LOG0107,2025-06-28 12:55,SRV006,4.55,13.6,40.12,663.37,404.0,Normal
LOG0108,2025-06-01 12:39,SRV013,99.9,60.78,69.56,768.16,504.0,Down
LOG0109,2025-07-14 07:32,SRV003,3.55,29.12,69.97,829.46,502.0,Normal
LOG0110,2025-07-22 13:25,SRV017,6.63,8.04,1.9,145.48,500.0,Normal
LOG0111,2025-06-05 07:23,SRV011,64.11,92.03,51.23,625.36,504.0,Normal
LOG0112,2025-06-29 03:37,SRV020,85.39,27.51,81.45,694.57,200.0,Down
LOG0113,2025-06-21 19:45,SRV013,97.4,67.16,10.54,888.11,504.0,Degraded
LOG0114,2025-07-17 19:55,SRV006,68.81,98.62,71.65,499.81,200.0,Timeout
LOG0115,2025-07-11 17:33,SRV015,19.78,15.62,84.31,512.59,404.0,Timeout
LOG0116,2025-06-08 22:39,SRV015,88.4,20.68,27.86,636.55,504.0,Normal
LOG0117,2025-07-25 00:55,SRV019,32.85,25.01,41.6,907.74,503.0,Degraded
LOG0118,2025-07-05 23:26,SRV020,38.84,1.58,77.44,656.9,504.0,Degraded
LOG0119,2025-06-21 01:47,SRV018,66.81,15.31,98.27,507.68,500.0,Normal
LOG0120,2025-07-08 23:57,SRV004,95.75,9.04,8.69,714.15,500.0,Timeout
LOG0121,2025-07-27 13:14,SRV016,88.32,91.06,77.02,511.83,502.0,Timeout
LOG0122,2025-06-30 03:51,SRV007,60.36,42.31,80.8,252.56,504.0,Timeout
LOG0123,2025-07-14 08:21,SRV002,24.82,25.42,5.52,608.56,404.0,Down
LOG0124,2025-06-02 17:48,SRV004,58.07,84.05,28.85,860.22,200.0,Degraded
LOG0125,2025-07-02 01:34,SRV002,91.95,17.16,85.44,361.06,504.0,Down
LOG0126,2025-07-17 05:41,SRV019,42.52,82.13,42.74,869.64,500.0,Normal
LOG0127,2025-06-29 22:50,SRV005,73.62,62.64,17.41,162.38,404.0,Normal
LOG0128,2025-07-11 12:29,SRV012,90.69,52.71,80.74,336.92,404.0,Normal
LOG0129,2025-06-07 17:27,SRV012,75.98,23.8,34.73,176.16,503.0,Timeout
LOG0130,2025-07-28 08:57,SRV016,77.45,49.18,39.13,412.51,504.0,Normal
LOG0131,2025-07-16 13:17,SRV017,42.77,52.5,21.6,392.16,404.0,Timeout
LOG0132,2025-07-28 14:38,SRV015,15.76,46.42,90.39,461.3,500.0,Normal
LOG0133,2025-07-02 00:18,SRV004,94.36,17.89,76.02,805.23,200.0,Normal
LOG0134,2025-07-23 02:52,SRV008,34.31,47.22,25.85,387.81,500.0,Timeout
LOG0135,2025-07-11 23:51,SRV004,98.76,14.95,33.48,738.6,200.0,Normal
LOG0136,2025-06-23 12:12,SRV002,2.5,35.89,78.75,55.68,500.0,Degraded
LOG0137,2025-07-20 00:05,SRV018,96.67,20.98,95.32,63.97,504.0,Down
LOG0138,2025-06-23 21:38,SRV002,96.21,19.23,8.09,73.11,503.0,Degraded
LOG0139,2025-07-21 19:32,SRV007,85.62,7.97,6.38,875.74,504.0,Degraded
LOG0140,2025-06-04 05:04,SRV012,87.49,58.89,63.19,250.21,200.0,Timeout
LOG0141,2025-06-08 14:55,SRV001,10.23,49.55,98.1,611.48,404.0,Timeout
LOG0142,2025-07-30 15:45,SRV013,95.32,75.54,12.92,831.01,404.0,Normal
LOG0143,2025-06-17 08:26,SRV018,35.57,10.39,98.15,463.83,504.0,Degraded
LOG0144,2025-07-16 11:39,SRV014,66.7,79.08,4.68,757.57,502.0,Timeout
LOG0145,2025-07-19 09:26,SRV010,94.61,4.1,29.91,380.93,500.0,Down
LOG0146,2025-06-20 16:16,SRV001,62.67,52.4,16.44,990.87,200.0,Down
LOG0147,2025-06-13 05:05,SRV006,4.22,67.98,11.99,945.37,404.0,Normal
LOG0148,2025-06-24 05:15,SRV017,94.25,29.51,17.39,469.57,503.0,Degraded
LOG0149,2025-06-17 12:01,SRV013,9.7,59.69,4.46,825.42,504.0,Degraded
LOG0150,2025-06-04 02:39,SRV005,82.59,76.56,28.11,836.4,500.0,Degraded
LOG0151,2025-06-21 07:34,SRV003,67.51,55.8,87.04,617.36,500.0,Timeout
LOG0152,2025-06-05 03:33,SRV006,59.97,29.67,40.87,429.01,404.0,Degraded
LOG0153,2025-06-19 10:33,SRV014,45.53,40.47,98.73,217.14,502.0,Down
LOG0154,2025-07-21 06:28,SRV019,70.01,2.29,7.83,206.44,504.0,Normal
LOG0155,2025-07-07 13:59,SRV009,63.04,85.17,74.58,668.14,503.0,Timeout
LOG0156,2025-07-19 07:05,SRV012,55.8,61.66,80.13,825.19,200.0,Down
LOG0157,2025-06-27 07:58,SRV015,62.82,26.14,38.09,701.21,502.0,Timeout
LOG0158,2025-07-19 05:34,SRV007,27.34,55.96,29.58,282.09,404.0,Timeout
LOG0159,2025-07-08 05:02,SRV002,31.48,85.74,71.15,491.88,504.0,Down
LOG0160,2025-06-04 14:50,SRV014,37.95,43.4,86.24,277.02,200.0,Degraded
LOG0161,2025-06-11 15:41,SRV020,78.65,5.92,84.03,236.09,503.0,Degraded
LOG0162,2025-06-25 16:53,SRV010,58.09,23.72,65.18,136.0,404.0,Degraded
LOG0163,2025-06-13 21:37,SRV007,87.02,3.75,30.22,535.02,404.0,Timeout
LOG0164,2025-07-19 03:14,SRV010,58.71,82.46,93.24,523.1,500.0,Degraded
LOG0165,2025-06-09 16:25,SRV019,32.69,14.85,24.38,978.93,404.0,Down
LOG0166,2025-07-30 03:26,SRV005,84.01,26.98,23.44,923.32,200.0,Down
LOG0167,2025-06-05 21:57,SRV016,31.83,38.58,64.16,918.95,500.0,Timeout
LOG0168,2025-06-01 15:06,SRV014,12.55,25.86,44.19,277.59,503.0,Timeout
LOG0169,2025-06-21 17:36,SRV020,25.79,23.98,18.25,344.04,404.0,Normal
LOG0170,2025-06-14 10:49,SRV020,1.24,35.85,13.66,520.67,503.0,Timeout
LOG0171,2025-06-17 14:27,SRV001,22.94,92.51,92.04,682.46,404.0,Normal
LOG0172,2025-06-03 10:48,SRV016,90.8,50.09,68.1,83.25,502.0,Timeout
LOG0173,2025-06-29 13:28,SRV009,98.98,11.06,7.05,839.63,200.0,Degraded
LOG0174,2025-07-09 04:54,SRV006,64.26,31.56,87.69,355.05,500.0,Timeout
LOG0175,2025-06-17 07:05,SRV007,78.52,4.78,66.28,320.73,503.0,Timeout
LOG0176,2025-07-20 04:55,SRV015,48.09,99.32,62.4,939.79,504.0,Degraded
LOG0177,2025-07-12 15:44,SRV011,54.56,35.69,40.79,330.82,502.0,Timeout
LOG0178,2025-07-21 13:10,SRV019,52.7,54.64,61.51,980.83,502.0,Down
LOG0179,2025-06-07 16:42,SRV016,75.36,59.24,34.43,764.68,502.0,Timeout
LOG0180,2025-07-28 06:47,SRV002,41.17,56.46,63.31,228.01,200.0,Degraded
LOG0181,2025-06-04 05:59,SRV006,6.26,43.43,24.65,138.51,504.0,Degraded
LOG0182,2025-06-01 08:46,SRV018,59.18,44.58,42.58,658.66,500.0,Normal
LOG0183,2025-07-26 09:49,SRV008,29.57,78.18,14.03,587.28,502.0,Down
LOG0184,2025-06-14 05:33,SRV005,99.78,82.12,25.47,942.72,200.0,Degraded
LOG0185,2025-06-24 15:44,SRV004,20.18,54.83,54.94,464.53,502.0,Timeout
LOG0186,2025-06-17 17:27,SRV004,54.51,81.67,95.6,319.47,504.0,Timeout
LOG0187,2025-06-19 15:21,SRV012,72.83,39.73,71.16,418.4,200.0,Timeout
LOG0188,2025-06-23 15:48,SRV008,75.76,86.72,35.36,998.17,502.0,Degraded
LOG0189,2025-07-14 20:02,SRV002,96.98,65.67,50.79,296.13,200.0,Timeout
LOG0190,2025-07-22 22:37,SRV009,11.72,9.51,71.87,589.39,500.0,Down
LOG0191,2025-06-30 12:02,SRV017,32.66,24.41,60.94,824.35,504.0,Timeout
LOG0192,2025-07-03 16:11,SRV001,60.12,72.4,62.96,258.61,502.0,Degraded
LOG0193,2025-07-16 23:31,SRV018,90.33,97.48,45.61,841.67,503.0,Normal
LOG0194,2025-07-24 01:02,SRV007,54.46,8.85,39.26,541.07,502.0,Degraded
LOG0195,2025-07-11 21:05,SRV011,64.4,18.81,57.89,565.57,200.0,Down
LOG0196,2025-07-11 14:13,SRV012,64.57,67.63,39.81,399.41,404.0,Normal
LOG0197,2025-07-09 16:37,SRV004,31.93,74.76,33.31,587.14,500.0,Down
LOG0198,2025-06-15 18:13,SRV014,87.48,60.03,39.54,206.41,200.0,Down
LOG0199,2025-07-14 18:59,SRV014,95.64,48.55,93.74,973.08,500.0,Normal
LOG0200,2025-07-07 06:18,SRV013,49.68,83.58,95.46,923.99,404.0,Normal
LOG0201,2025-07-23 14:14,SRV007,89.27,53.58,93.47,382.81,404.0,Degraded
LOG0202,2025-06-07 12:38,SRV011,63.59,70.33,30.12,483.46,404.0,Degraded
LOG0203,2025-07-08 14:58,SRV010,6.7,42.28,58.95,829.01,500.0,Down
LOG0204,2025-06-17 17:31,SRV013,3.2,89.85,52.45,795.89,502.0,Degraded
LOG0205,2025-07-08 10:43,SRV015,11.4,76.49,21.31,446.08,503.0,Timeout
LOG0206,2025-07-07 02:53,SRV006,87.88,80.27,66.51,198.32,500.0,Timeout
LOG0207,2025-07-14 10:36,SRV008,28.14,43.33,91.37,935.59,504.0,Down
LOG0208,2025-07-08 20:09,SRV011,42.35,40.87,6.21,525.81,503.0,Down
LOG0209,2025-06-30 09:03,SRV004,35.68,14.3,74.93,763.1,404.0,Normal
LOG0210,2025-06-15 18:07,SRV010,56.86,97.96,19.93,834.21,500.0,Normal
LOG0211,2025-06-14 11:11,SRV013,40.33,7.43,31.41,466.72,504.0,Timeout
LOG0212,2025-07-30 00:51,SRV007,15.92,15.21,21.95,710.25,502.0,Degraded
LOG0213,2025-07-19 07:57,SRV009,32.3,66.59,72.1,880.28,404.0,Down
LOG0214,2025-07-23 19:01,SRV012,25.43,5.31,88.99,296.88,200.0,Timeout
LOG0215,2025-07-23 04:17,SRV010,99.46,99.62,69.88,832.22,404.0,Normal
LOG0216,2025-07-26 04:50,SRV011,18.51,76.65,85.91,250.22,502.0,Degraded
LOG0217,2025-07-14 08:12,SRV008,54.26,66.29,82.85,976.68,404.0,Down
LOG0218,2025-06-23 14:26,SRV001,16.99,83.38,5.52,881.55,404.0,Timeout
LOG0219,2025-06-17 07:49,SRV003,12.08,11.15,23.19,894.23,404.0,Timeout
LOG0220,2025-06-01 06:58,SRV009,62.04,77.94,82.67,682.38,200.0,Timeout
LOG0221,2025-06-17 21:52,SRV020,75.78,54.04,9.17,581.21,500.0,Normal
LOG0222,2025-07-28 19:15,SRV014,49.14,29.74,14.02,609.15,504.0,Normal
LOG0223,2025-06-17 12:10,SRV003,47.11,54.0,61.12,502.0,503.0,Degraded
LOG0224,2025-06-26 11:29,SRV006,34.79,49.83,53.02,226.19,404.0,Degraded
LOG0225,2025-06-15 17:25,SRV006,70.24,46.7,31.63,649.66,504.0,Timeout
LOG0226,2025-06-09 08:50,SRV016,26.03,88.19,87.04,160.94,504.0,Degraded
LOG0227,2025-07-18 20:37,SRV001,7.78,40.98,72.67,130.78,502.0,Down
LOG0228,2025-06-26 08:04,SRV020,94.47,67.84,45.89,371.94,200.0,Normal
LOG0229,2025-06-24 21:15,SRV011,1.81,70.98,79.12,808.89,500.0,Degraded
LOG0230,2025-06-29 16:43,SRV003,56.07,46.61,30.62,551.35,404.0,Normal
LOG0231,2025-07-09 16:23,SRV006,2.19,27.35,34.67,626.14,504.0,Down
LOG0232,2025-07-21 12:57,SRV002,34.28,7.91,65.73,164.53,200.0,Normal
LOG0233,2025-07-14 04:50,SRV007,72.38,44.92,3.76,357.33,504.0,Down
LOG0234,2025-06-26 21:54,SRV019,75.27,2.43,92.9,582.0,504.0,Degraded
LOG0235,2025-07-30 01:33,SRV016,28.46,27.03,82.73,266.22,404.0,Degraded
LOG0236,2025-07-29 22:00,SRV020,75.98,68.22,81.26,871.46,200.0,Timeout
LOG0237,2025-07-06 03:52,SRV019,70.66,57.19,6.29,447.12,500.0,Timeout
LOG0238,2025-06-02 22:54,SRV004,59.57,94.94,73.33,699.37,504.0,Timeout
LOG0239,2025-06-13 00:14,SRV011,75.49,48.08,8.31,375.04,500.0,Degraded
LOG0240,2025-07-04 09:05,SRV017,86.81,56.36,52.01,618.89,404.0,Degraded
LOG0241,2025-07-24 21:18,SRV008,47.07,37.72,71.68,163.44,500.0,Degraded
LOG0242,2025-07-01 02:52,SRV004,42.55,70.25,58.06,370.45,504.0,Timeout
LOG0243,2025-06-08 15:49,SRV013,92.58,76.42,74.11,175.98,503.0,Down
LOG0244,2025-06-17 01:45,SRV004,28.26,50.37,61.69,786.5,503.0,Degraded
LOG0245,2025-07-30 03:28,SRV005,91.39,25.98,90.5,956.4,503.0,Degraded
LOG0246,2025-07-02 07:25,SRV018,67.75,36.1,36.29,126.17,502.0,Normal
LOG0247,2025-07-06 23:59,SRV015,4.1,30.05,35.41,710.71,502.0,Degraded
LOG0248,2025-06-19 01:02,SRV001,25.31,6.7,79.41,310.63,502.0,Degraded
LOG0249,2025-06-22 16:39,SRV004,54.16,22.5,37.17,586.9,200.0,Timeout
LOG0250,2025-07-19 03:01,SRV010,80.88,86.32,24.33,852.47,502.0,Normal
LOG0251,2025-07-08 06:07,SRV013,2.59,83.51,83.85,726.26,502.0,Timeout
LOG0252,2025-06-29 20:34,SRV010,34.01,90.52,66.62,769.01,502.0,Timeout
LOG0253,2025-07-08 09:58,SRV014,92.39,48.5,7.39,126.07,502.0,Down
LOG0254,2025-07-09 00:28,SRV005,82.66,33.62,19.38,842.49,500.0,Normal
LOG0255,2025-07-22 23:44,SRV008,68.73,60.15,99.19,885.08,500.0,Normal
LOG0256,2025-07-24 00:29,SRV005,82.92,64.98,59.55,359.81,200.0,Normal
LOG0257,2025-07-23 22:55,SRV003,40.64,50.34,99.33,858.23,404.0,Down
LOG0258,2025-07-04 01:14,SRV018,88.3,12.5,19.88,212.29,500.0,Timeout
LOG0259,2025-07-28 21:29,SRV020,77.64,64.71,39.91,478.92,503.0,Down
LOG0260,2025-06-02 07:41,SRV008,98.7,24.12,53.15,521.46,500.0,Timeout
LOG0261,2025-06-06 11:04,SRV011,80.14,93.77,96.64,737.05,504.0,Down
LOG0262,2025-06-11 22:57,SRV002,7.49,38.14,34.18,453.21,504.0,Down
LOG0263,2025-07-25 12:44,SRV016,21.05,52.52,40.22,834.94,404.0,Down
LOG0264,2025-06-30 16:00,SRV015,24.66,37.88,45.24,442.61,504.0,Down
LOG0265,2025-06-24 11:02,SRV017,18.7,73.5,66.23,222.89,200.0,Normal
LOG0266,2025-07-28 04:08,SRV009,12.13,24.69,36.43,523.52,200.0,Degraded
LOG0267,2025-07-27 00:05,SRV013,43.51,99.07,31.03,840.86,503.0,Timeout
LOG0268,2025-06-27 17:43,SRV015,98.58,19.14,97.59,674.03,500.0,Degraded
LOG0269,2025-06-18 12:51,SRV008,90.49,74.77,51.5,671.96,404.0,Down
LOG0270,2025-07-18 17:01,SRV015,2.6,40.72,61.91,241.01,500.0,Normal
LOG0271,2025-07-13 21:57,SRV020,36.06,17.32,8.7,644.52,200.0,Normal
LOG0272,2025-06-27 00:39,SRV012,28.85,94.64,71.91,213.06,502.0,Normal
LOG0273,2025-07-22 19:20,SRV005,49.0,65.75,22.37,972.78,502.0,Degraded
LOG0274,2025-06-12 02:35,SRV016,46.75,93.4,91.21,763.44,404.0,Normal
LOG0275,2025-07-14 11:16,SRV003,93.09,75.31,2.29,672.63,503.0,Normal
LOG0276,2025-07-12 12:31,SRV009,24.56,10.02,91.86,515.15,503.0,Timeout
LOG0277,2025-06-11 02:14,SRV012,64.3,33.98,85.55,571.9,504.0,Timeout
LOG0278,2025-07-08 05:38,SRV008,60.39,63.36,63.11,791.72,504.0,Normal
LOG0279,2025-06-21 09:53,SRV015,42.16,42.12,60.25,874.7,504.0,Degraded
LOG0280,2025-06-27 04:47,SRV011,66.83,65.93,86.66,721.38,500.0,Normal
LOG0281,2025-07-09 03:35,SRV006,99.41,69.34,26.29,89.51,500.0,Timeout
LOG0282,2025-06-06 12:24,SRV017,97.54,7.2,60.43,60.24,503.0,Normal
LOG0283,2025-07-02 19:44,SRV017,25.13,42.35,82.5,153.7,504.0,Normal
LOG0284,2025-07-08 14:21,SRV019,82.47,20.86,48.09,101.77,500.0,Normal
LOG0285,2025-07-27 02:20,SRV009,40.62,28.03,34.71,793.87,404.0,Normal
LOG0286,2025-07-13 21:48,SRV005,60.56,93.21,83.2,778.24,404.0,Timeout
LOG0287,2025-07-03 04:53,SRV015,76.94,29.33,60.21,515.16,502.0,Normal
LOG0288,2025-06-20 20:14,SRV002,71.0,82.27,54.03,859.1,404.0,Normal
LOG0289,2025-07-11 04:04,SRV001,35.16,28.01,20.42,718.55,404.0,Timeout
LOG0290,2025-06-21 09:38,SRV010,72.45,87.27,3.16,345.13,503.0,Timeout
LOG0291,2025-06-13 08:36,SRV018,80.42,14.29,18.81,429.7,404.0,Timeout
LOG0292,2025-06-19 18:16,SRV017,85.53,70.5,74.59,79.04,500.0,Degraded
LOG0293,2025-07-23 19:05,SRV011,79.45,96.77,41.73,55.46,503.0,Timeout
LOG0294,2025-06-20 02:25,SRV015,28.12,48.29,45.76,917.55,503.0,Degraded
LOG0295,2025-07-29 10:35,SRV006,58.08,50.1,96.6,209.69,500.0,Degraded
LOG0296,2025-07-18 04:59,SRV014,81.14,78.04,25.4,64.2,500.0,Normal
LOG0297,2025-06-26 11:53,SRV003,5.76,91.99,96.76,815.15,503.0,Timeout
LOG0298,2025-07-23 10:03,SRV007,90.35,54.93,5.2,403.3,504.0,Degraded
LOG0299,2025-06-19 05:32,SRV013,4.48,95.55,50.76,87.62,200.0,Timeout
