ID,Tanggal,Pelabuhan,Cuaca,Shift Kerja,Permintaan Barang (Kontainer),ETA (jam),Ketersediaan Armada
96,2025-06-12,Belawan,Berawan,Malam,771,32.58,188
97,2025-07-24,Makassar,Hujan Deras,Siang,205,13.18,132
98,2025-07-01,Tanjung Priok,Hujan Deras,Pagi,311,45.3,188
99,2025-06-02,Bitung,Berawan,Siang,441,32.46,50
100,2025-07-10,Tanjung Perak,Hujan Deras,Siang,787,37.6,168
101,2025-06-30,Makassar,Hujan Ringan,Malam,525,35.11,109
102,2025-07-08,Makassar,Hujan Deras,Pagi,914,11.11,171
103,2025-07-23,Tanjung Priok,Hujan Deras,Malam,155,14.36,35
104,2025-06-27,Tanjung Priok,Cerah,Pagi,608,39.29,107
105,2025-07-28,Tanjung Priok,Hujan Deras,Pagi,777,18.73,140
106,2025-06-09,Belawan,Berawan,Malam,803,20.89,159
107,2025-07-18,Belawan,Cerah,Malam,973,16.22,33
108,2025-07-15,Bitung,Badai,Pagi,315,15.5,73
109,2025-06-17,Tanjung Priok,Badai,Malam,837,13.81,86
110,2025-06-12,Makassar,Cerah,Pagi,618,30.45,173
111,2025-06-20,Belawan,Berawan,Malam,240,45.64,122
112,2025-07-05,Makassar,Hujan Ringan,Malam,235,32.11,156
113,2025-06-20,Tanjung Priok,Hujan Ringan,Siang,401,35.42,149
114,2025-06-02,Belawan,Hujan Ringan,Pagi,293,28.35,81
115,2025-06-16,Belawan,Badai,Siang,393,14.05,114
116,2025-07-18,Tanjung Perak,Hujan Deras,Siang,559,40.41,51
117,2025-07-02,Tanjung Priok,Hujan Deras,Pagi,350,33.41,177
118,2025-06-09,Bitung,Hujan Ringan,Siang,759,33.52,53
119,2025-06-14,Tanjung Priok,Hujan Ringan,Pagi,986,17.34,138
120,2025-07-16,Makassar,Hujan Deras,Siang,695,38.52,115
121,2025-07-26,Tanjung Priok,Badai,Pagi,475,36.07,173
122,2025-06-14,Makassar,Hujan Ringan,Pagi,978,45.77,153
123,2025-06-30,Tanjung Priok,Badai,Siang,478,16.22,17
124,2025-06-12,Tanjung Priok,Berawan,Siang,569,45.28,124
125,2025-06-06,Tanjung Priok,Cerah,Malam,461,11.19,84
126,2025-07-14,Bitung,Badai,Siang,693,12.47,10
127,2025-07-08,Tanjung Perak,Cerah,Pagi,653,43.12,21
128,2025-07-02,Makassar,Hujan Deras,Siang,996,37.9,198
129,2025-07-02,Belawan,Badai,Pagi,849,12.54,74
130,2025-07-17,Belawan,Hujan Deras,Siang,719,38.12,37
131,2025-07-22,Tanjung Perak,Berawan,Siang,534,11.98,89
132,2025-07-21,Belawan,Berawan,Malam,274,27.68,100
133,2025-07-06,Tanjung Priok,Cerah,Malam,879,26.06,178
134,2025-07-21,Bitung,Hujan Deras,Siang,277,47.49,15
135,2025-06-16,Tanjung Perak,Badai,Pagi,733,18.55,90
136,2025-06-17,Bitung,Cerah,Pagi,949,48.0,140
137,2025-07-22,Makassar,Berawan,Malam,205,29.72,167
138,2025-07-14,Makassar,Cerah,Siang,678,25.61,153
139,2025-06-14,Tanjung Priok,Badai,Siang,225,33.48,61
140,2025-06-20,Tanjung Priok,Berawan,Malam,543,32.7,88
141,2025-07-13,Makassar,Berawan,Siang,794,28.06,167
142,2025-07-23,Tanjung Perak,Berawan,Pagi,991,43.89,125
143,2025-07-25,Makassar,Cerah,Pagi,598,42.27,134
144,2025-06-23,Belawan,Badai,Malam,947,30.46,125
145,2025-06-16,Tanjung Priok,Hujan Ringan,Siang,836,13.24,80
146,2025-07-07,Bitung,Berawan,Pagi,567,35.55,195
147,2025-06-11,Tanjung Perak,Hujan Deras,Malam,442,24.85,131
148,2025-07-30,Makassar,Berawan,Malam,790,33.97,27
149,2025-07-12,Bitung,Hujan Deras,Siang,598,35.58,49
150,2025-06-17,Belawan,Berawan,Malam,100,10.9,180
151,2025-07-06,Makassar,Badai,Pagi,907,24.45,114
152,2025-07-15,Makassar,Cerah,Malam,880,33.43,22
153,2025-07-08,Tanjung Perak,Hujan Deras,Malam,529,14.03,118
154,2025-06-04,Belawan,Hujan Ringan,Siang,814,23.64,183
155,2025-06-29,Tanjung Perak,Berawan,Pagi,475,37.81,48
156,2025-06-08,Tanjung Perak,Berawan,Siang,104,22.99,117
157,2025-06-01,Tanjung Priok,Cerah,Pagi,509,34.87,30
158,2025-06-09,Makassar,Berawan,Siang,395,33.04,23
159,2025-06-19,Tanjung Perak,Hujan Ringan,Pagi,521,13.33,122
160,2025-07-08,Makassar,Hujan Deras,Malam,197,28.9,86
161,2025-07-25,Makassar,Hujan Deras,Siang,188,22.49,117
162,2025-06-11,Bitung,Berawan,Malam,298,43.74,134
163,2025-07-03,Belawan,Berawan,Malam,800,27.76,131
164,2025-07-24,Bitung,Cerah,Malam,846,46.55,55
165,2025-06-23,Tanjung Priok,Hujan Ringan,Siang,237,33.35,158
166,2025-07-18,Belawan,Badai,Pagi,619,47.28,26
167,2025-07-11,Bitung,Hujan Deras,Malam,546,10.83,75
168,2025-06-13,Belawan,Berawan,Siang,908,12.42,37
169,2025-07-15,Tanjung Priok,Hujan Ringan,Siang,272,45.12,40
170,2025-07-10,Tanjung Priok,Cerah,Pagi,157,22.53,190
171,2025-06-24,Tanjung Perak,Hujan Deras,Malam,615,37.49,163
172,2025-06-08,Bitung,Badai,Siang,382,12.29,47
173,2025-06-07,Tanjung Priok,Cerah,Pagi,157,10.89,152
174,2025-06-26,Tanjung Perak,Hujan Deras,Malam,403,16.73,158
175,2025-07-22,Belawan,Hujan Ringan,Siang,925,46.15,18
176,2025-06-20,Bitung,Berawan,Pagi,940,15.01,157
177,2025-06-07,Tanjung Perak,Hujan Deras,Pagi,783,23.54,100
178,2025-07-03,Bitung,Hujan Ringan,Siang,289,44.71,173
179,2025-06-24,Makassar,Hujan Ringan,Malam,938,36.38,198
180,2025-07-11,Tanjung Priok,Badai,Malam,873,26.96,124
181,2025-06-25,Belawan,Badai,Malam,568,15.34,75
182,2025-06-08,Belawan,Hujan Ringan,Malam,390,21.1,18
183,2025-07-14,Tanjung Priok,Hujan Ringan,Pagi,485,12.21,35
184,2025-07-14,Belawan,Hujan Deras,Malam,431,11.4,48
185,2025-07-11,Tanjung Perak,Hujan Deras,Pagi,905,42.1,48
186,2025-07-13,Belawan,Hujan Deras,Siang,567,32.06,153
187,2025-07-20,Belawan,Berawan,Siang,326,15.39,76
188,2025-07-22,Tanjung Perak,Hujan Ringan,Malam,763,42.77,55
189,2025-07-07,Makassar,Hujan Ringan,Siang,267,15.6,181
190,2025-06-11,Bitung,Hujan Ringan,Siang,346,32.24,187
191,2025-07-13,Tanjung Perak,Berawan,Pagi,810,41.52,117
192,2025-06-13,Bitung,Hujan Ringan,Pagi,158,37.77,138
193,2025-06-22,Makassar,Hujan Deras,Siang,879,19.6,63
194,2025-06-19,Tanjung Priok,Berawan,Malam,451,40.45,30
195,2025-07-03,Tanjung Priok,Cerah,Pagi,852,25.15,98
196,2025-07-01,Tanjung Perak,Berawan,Pagi,916,33.9,97
197,2025-07-04,Tanjung Perak,Hujan Ringan,Pagi,523,34.89,67
198,2025-07-03,Bitung,Badai,Siang,358,48.18,105
199,2025-07-23,Tanjung Priok,Berawan,Malam,883,32.55,53
200,2025-06-25,Bitung,Hujan Ringan,Siang,462,23.15,179
201,2025-07-08,Makassar,Hujan Ringan,Malam,432,29.3,158
202,2025-06-08,Bitung,Badai,Siang,716,24.72,87
203,2025-07-22,Belawan,Cerah,Malam,262,28.52,186
204,2025-06-08,Tanjung Perak,Badai,Pagi,210,10.44,131
205,2025-06-08,Tanjung Priok,Berawan,Malam,696,37.75,124
206,2025-06-17,Belawan,Berawan,Pagi,608,49.16,88
207,2025-07-25,Tanjung Perak,Hujan Ringan,Malam,652,42.93,11
208,2025-06-11,Bitung,Hujan Deras,Pagi,684,48.48,144
209,2025-06-04,Tanjung Priok,Badai,Malam,934,47.9,47
210,2025-06-07,Makassar,Berawan,Siang,816,16.03,168
211,2025-07-26,Tanjung Priok,Berawan,Pagi,552,36.87,30
212,2025-07-03,Tanjung Perak,Hujan Ringan,Siang,622,35.3,83
213,2025-06-05,Belawan,Hujan Deras,Siang,432,31.18,187
214,2025-07-07,Tanjung Priok,Badai,Pagi,775,30.72,148
215,2025-07-28,Belawan,Hujan Ringan,Malam,758,23.18,177
216,2025-06-04,Bitung,Badai,Siang,721,32.36,99
217,2025-06-23,Bitung,Badai,Malam,625,10.31,71
218,2025-07-15,Tanjung Perak,Hujan Ringan,Pagi,860,12.61,50
219,2025-07-11,Makassar,Cerah,Siang,743,22.67,176
220,2025-06-30,Tanjung Priok,Badai,Pagi,369,24.36,118
221,2025-06-22,Tanjung Perak,Hujan Ringan,Siang,287,26.52,15
222,2025-06-15,Bitung,Hujan Ringan,Pagi,844,18.62,163
223,2025-07-06,Tanjung Perak,Hujan Ringan,Pagi,335,37.21,143
224,2025-07-15,Makassar,Berawan,Malam,151,17.23,121
225,2025-07-02,Makassar,Berawan,Pagi,730,36.97,106
226,2025-07-26,Belawan,Hujan Ringan,Pagi,173,40.46,116
227,2025-07-24,Tanjung Perak,Hujan Ringan,Siang,460,10.11,92
228,2025-06-08,Bitung,Hujan Ringan,Siang,215,26.95,117
229,2025-07-30,Belawan,Cerah,Siang,535,23.96,21
230,2025-06-02,Makassar,Hujan Ringan,Pagi,830,10.41,196
231,2025-06-16,Makassar,Badai,Siang,793,24.39,151
232,2025-07-08,Tanjung Priok,Hujan Ringan,Siang,291,24.77,199
233,2025-07-06,Makassar,Berawan,Pagi,745,24.7,108
234,2025-06-19,Tanjung Perak,Berawan,Siang,209,28.2,84
235,2025-06-20,Tanjung Perak,Hujan Ringan,Pagi,467,44.81,106
236,2025-06-14,Makassar,Cerah,Pagi,593,43.13,190
237,2025-07-30,Bitung,Hujan Ringan,Pagi,877,16.7,71
238,2025-06-19,Tanjung Priok,Hujan Deras,Siang,926,25.33,94
239,2025-07-05,Tanjung Priok,Cerah,Siang,244,17.19,35
240,2025-06-06,Makassar,Berawan,Pagi,494,40.99,179
241,2025-07-26,Makassar,Berawan,Malam,720,28.84,76
242,2025-07-25,Belawan,Cerah,Malam,652,15.35,130
243,2025-06-24,Belawan,Badai,Siang,716,32.76,10
244,2025-06-20,Belawan,Hujan Deras,Siang,769,15.57,37
245,2025-06-12,Bitung,Berawan,Malam,128,44.92,58
246,2025-06-01,Belawan,Hujan Deras,Pagi,995,13.8,58
247,2025-06-29,Bitung,Hujan Deras,Malam,118,17.31,75
248,2025-07-30,Belawan,Badai,Pagi,398,49.8,181
249,2025-07-04,Makassar,Hujan Ringan,Pagi,766,40.07,126
250,2025-07-12,Makassar,Hujan Ringan,Pagi,478,24.62,10
251,2025-07-29,Belawan,Badai,Siang,472,47.09,197
252,2025-07-18,Tanjung Priok,Cerah,Siang,645,47.75,136
253,2025-06-14,Tanjung Perak,Hujan Ringan,Malam,826,21.09,178
254,2025-07-26,Belawan,Cerah,Siang,837,37.26,55
255,2025-06-21,Tanjung Perak,Berawan,Malam,815,32.31,197
256,2025-06-15,Bitung,Berawan,Siang,318,43.89,108
257,2025-07-01,Bitung,Hujan Ringan,Pagi,891,37.94,27
258,2025-06-02,Tanjung Perak,Hujan Deras,Siang,606,14.45,97
259,2025-06-02,Tanjung Perak,Badai,Pagi,598,20.91,15
260,2025-06-27,Bitung,Hujan Ringan,Pagi,197,34.82,143
261,2025-07-27,Tanjung Perak,Hujan Ringan,Pagi,631,11.53,115
262,2025-07-29,Makassar,Berawan,Pagi,838,41.42,90
263,2025-07-08,Bitung,Badai,Siang,166,24.52,156
264,2025-07-08,Bitung,Hujan Deras,Siang,769,14.16,69
265,2025-07-08,Makassar,Hujan Deras,Pagi,992,20.44,140
266,2025-06-23,Belawan,Hujan Deras,Pagi,477,36.21,69
267,2025-07-29,Tanjung Perak,Hujan Deras,Siang,791,10.7,177
268,2025-06-10,Tanjung Priok,Hujan Ringan,Pagi,892,20.27,177
269,2025-07-12,Belawan,Berawan,Malam,605,41.07,193
270,2025-07-16,Makassar,Badai,Siang,431,42.88,141
271,2025-07-05,Belawan,Hujan Deras,Siang,878,21.54,59
272,2025-06-22,Makassar,Hujan Ringan,Siang,428,26.89,84
273,2025-07-13,Tanjung Perak,Hujan Ringan,Malam,635,31.66,81
274,2025-07-25,Belawan,Hujan Deras,Siang,953,32.62,81
275,2025-07-19,Makassar,Berawan,Malam,295,49.41,11
276,2025-06-09,Belawan,Berawan,Siang,816,33.39,48
277,2025-06-03,Tanjung Priok,Cerah,Malam,387,38.69,23
278,2025-06-13,Makassar,Badai,Siang,600,33.68,200
279,2025-06-12,Bitung,Badai,Malam,137,48.21,164
280,2025-07-14,Tanjung Priok,Badai,Siang,342,24.22,147
281,2025-06-11,Bitung,Berawan,Malam,207,23.26,188
282,2025-06-15,Bitung,Cerah,Siang,117,16.08,158
283,2025-07-26,Belawan,Hujan Ringan,Siang,120,40.17,112
284,2025-07-21,Tanjung Perak,Hujan Ringan,Malam,154,30.07,71
285,2025-07-09,Tanjung Perak,Cerah,Siang,973,41.11,113
286,2025-07-14,Tanjung Priok,Berawan,Pagi,183,12.43,11
287,2025-07-26,Tanjung Perak,Hujan Deras,Malam,391,41.58,103
288,2025-06-21,Belawan,Berawan,Siang,627,43.71,150
289,2025-07-15,Belawan,Badai,Siang,356,19.17,157
290,2025-06-21,Tanjung Priok,Badai,Malam,622,24.66,97
291,2025-07-17,Bitung,Berawan,Siang,622,26.1,75
292,2025-06-02,Tanjung Perak,Hujan Deras,Pagi,992,11.33,147
293,2025-07-27,Belawan,Berawan,Malam,721,22.25,60
294,2025-07-06,Belawan,Berawan,Malam,1000,31.82,180
295,2025-07-02,Tanjung Perak,Hujan Deras,Malam,805,39.0,100
296,2025-07-16,Bitung,Badai,Pagi,599,21.5,75
297,2025-07-13,Tanjung Priok,Hujan Deras,Pagi,329,17.0,77
298,2025-07-30,Makassar,Berawan,Pagi,212,41.09,13
299,2025-07-13,Makassar,Hujan Ringan,Siang,237,36.27,139
300,2025-06-25,Tanjung Perak,Cerah,Malam,962,13.63,150
301,2025-07-10,Tanjung Perak,Badai,Pagi,920,26.03,76
302,2025-06-04,Makassar,Hujan Deras,Malam,826,30.23,110
303,2025-07-11,Tanjung Perak,Hujan Ringan,Malam,705,34.38,194
304,2025-07-06,Makassar,Hujan Ringan,Pagi,558,39.3,135
305,2025-06-19,Bitung,Badai,Siang,368,20.75,197
306,2025-06-28,Tanjung Priok,Badai,Pagi,915,35.71,53
307,2025-07-28,Tanjung Perak,Berawan,Pagi,467,26.27,11
308,2025-07-02,Makassar,Cerah,Pagi,487,45.01,148
309,2025-06-11,Bitung,Badai,Malam,680,14.98,36
310,2025-06-25,Tanjung Perak,Badai,Siang,203,13.12,74
311,2025-06-26,Makassar,Hujan Deras,Malam,383,43.22,172
312,2025-06-24,Tanjung Perak,Hujan Deras,Malam,752,31.03,79
313,2025-06-30,Tanjung Perak,Hujan Ringan,Siang,511,28.01,36
314,2025-07-05,Bitung,Hujan Ringan,Pagi,932,32.39,108
315,2025-07-06,Makassar,Badai,Pagi,781,12.32,26
316,2025-06-20,Belawan,Cerah,Siang,527,28.28,194
317,2025-07-14,Makassar,Cerah,Siang,224,43.5,142
318,2025-07-18,Bitung,Hujan Ringan,Pagi,685,15.25,90
319,2025-06-25,Makassar,Cerah,Siang,662,19.93,26
320,2025-07-08,Tanjung Priok,Cerah,Siang,351,25.11,172
321,2025-07-12,Tanjung Perak,Cerah,Malam,982,26.66,195
322,2025-06-16,Tanjung Perak,Hujan Ringan,Malam,930,23.17,37
323,2025-06-11,Bitung,Hujan Ringan,Pagi,101,18.04,66
324,2025-06-06,Bitung,Badai,Siang,966,16.32,127
325,2025-06-29,Bitung,Cerah,Pagi,417,10.69,66
326,2025-07-21,Tanjung Perak,Cerah,Siang,522,13.56,19
327,2025-06-11,Tanjung Priok,Berawan,Pagi,561,34.7,62
328,2025-06-13,Belawan,Berawan,Malam,757,41.44,89
329,2025-07-10,Tanjung Priok,Hujan Deras,Siang,656,38.9,70
330,2025-07-30,Tanjung Perak,Hujan Deras,Pagi,358,39.41,150
331,2025-06-30,Belawan,Badai,Pagi,210,27.88,197
332,2025-07-18,Belawan,Hujan Deras,Malam,661,34.95,32
333,2025-07-20,Belawan,Cerah,Pagi,577,44.14,179
334,2025-06-13,Tanjung Priok,Berawan,Pagi,509,16.65,25
335,2025-07-17,Makassar,Berawan,Pagi,413,46.6,44
336,2025-06-11,Tanjung Perak,Hujan Ringan,Malam,110,48.45,188
337,2025-06-18,Tanjung Perak,Badai,Siang,655,35.34,42
338,2025-06-19,Tanjung Priok,Badai,Siang,686,45.72,87
339,2025-06-10,Bitung,Hujan Ringan,Siang,125,44.32,104
340,2025-06-26,Tanjung Perak,Cerah,Malam,228,25.37,21
341,2025-07-28,Belawan,Hujan Ringan,Siang,724,13.63,171
342,2025-06-06,Tanjung Perak,Badai,Pagi,456,10.94,26
343,2025-06-18,Makassar,Badai,Pagi,223,14.42,131
344,2025-07-27,Bitung,Berawan,Pagi,330,27.7,158
345,2025-07-22,Makassar,Berawan,Pagi,304,20.95,152
346,2025-07-23,Tanjung Priok,Cerah,Siang,118,46.35,174
347,2025-07-21,Belawan,Berawan,Malam,909,46.19,194
348,2025-06-05,Tanjung Priok,Hujan Ringan,Siang,639,23.65,115
349,2025-07-15,Tanjung Perak,Cerah,Malam,489,13.6,137
350,2025-06-23,Bitung,Badai,Siang,734,12.82,137
351,2025-07-15,Bitung,Berawan,Siang,117,21.53,143
352,2025-06-22,Belawan,Cerah,Malam,825,26.1,42
353,2025-06-25,Belawan,Hujan Ringan,Malam,712,42.61,70
354,2025-06-09,Tanjung Priok,Berawan,Siang,804,40.14,30
355,2025-06-06,Tanjung Priok,Cerah,Malam,394,30.34,13
356,2025-06-26,Tanjung Perak,Berawan,Pagi,947,18.26,194
357,2025-06-16,Makassar,Berawan,Pagi,583,12.75,33
358,2025-06-18,Belawan,Hujan Deras,Pagi,230,49.67,137
359,2025-07-18,Belawan,Cerah,Siang,203,44.73,33
360,2025-07-08,Tanjung Perak,Berawan,Siang,789,27.66,115
361,2025-07-25,Belawan,Berawan,Siang,280,39.59,109
362,2025-06-05,Belawan,Hujan Ringan,Siang,272,10.58,35
363,2025-07-24,Tanjung Perak,Hujan Ringan,Malam,792,42.36,175
364,2025-07-28,Tanjung Perak,Cerah,Malam,162,14.99,170
365,2025-06-27,Tanjung Perak,Hujan Deras,Siang,129,22.61,198
366,2025-06-27,Makassar,Badai,Siang,374,32.58,17
367,2025-07-20,Makassar,Badai,Malam,842,19.89,60
368,2025-07-16,Tanjung Perak,Berawan,Siang,791,14.32,72
369,2025-06-25,Tanjung Priok,Hujan Ringan,Malam,720,47.43,197
370,2025-07-14,Belawan,Badai,Pagi,425,32.26,102
371,2025-07-04,Tanjung Perak,Badai,Pagi,748,27.22,112
372,2025-07-01,Tanjung Perak,Hujan Deras,Siang,135,14.42,192
373,2025-06-18,Tanjung Priok,Cerah,Pagi,952,26.8,31
374,2025-06-06,Bitung,Hujan Ringan,Siang,489,13.86,167
375,2025-06-17,Makassar,Cerah,Siang,756,20.46,11
376,2025-06-19,Belawan,Berawan,Pagi,144,26.04,76
377,2025-07-22,Makassar,Hujan Ringan,Siang,792,37.78,106
378,2025-07-22,Belawan,Badai,Malam,770,21.75,186
379,2025-06-01,Belawan,Badai,Siang,646,24.62,188
380,2025-07-14,Tanjung Perak,Hujan Deras,Pagi,624,14.24,139
381,2025-06-07,Tanjung Priok,Hujan Deras,Malam,666,40.62,86
382,2025-07-01,Bitung,Berawan,Pagi,948,26.38,119
383,2025-06-14,Belawan,Cerah,Pagi,859,24.86,68
384,2025-07-12,Makassar,Berawan,Pagi,663,30.51,11
385,2025-07-27,Bitung,Hujan Ringan,Siang,701,41.41,82
386,2025-06-08,Tanjung Perak,Berawan,Malam,205,38.1,63
387,2025-06-22,Makassar,Hujan Ringan,Siang,945,39.67,76
388,2025-06-20,Tanjung Perak,Hujan Deras,Malam,720,18.74,127
389,2025-07-22,Belawan,Hujan Deras,Malam,323,14.68,46
390,2025-07-24,Belawan,Berawan,Siang,540,10.83,82
391,2025-07-07,Makassar,Hujan Ringan,Siang,480,11.55,152
392,2025-06-04,Belawan,Cerah,Malam,497,40.61,101
393,2025-06-14,Tanjung Perak,Cerah,Malam,532,39.1,14
394,2025-06-14,Tanjung Perak,Badai,Siang,977,29.55,96
395,2025-06-11,Makassar,Hujan Deras,Siang,782,44.25,146
396,2025-06-26,Tanjung Priok,Cerah,Malam,337,32.18,11
397,2025-07-18,Makassar,Hujan Deras,Siang,226,11.17,102
398,2025-06-03,Tanjung Perak,Berawan,Malam,512,26.52,83
399,2025-07-07,Makassar,Hujan Deras,Pagi,379,14.51,182
400,2025-07-26,Makassar,Hujan Deras,Siang,928,48.17,170
401,2025-06-17,Bitung,Cerah,Siang,496,47.46,101
402,2025-07-23,Bitung,Cerah,Pagi,369,29.95,126
403,2025-06-09,Belawan,Berawan,Siang,984,42.25,60
404,2025-06-24,Tanjung Priok,Hujan Ringan,Pagi,948,15.26,58
